group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
balance bvh build perf,,,,,59674400.0,ns,6
balance bvh build perf,,,,,52604800.0,ns,6
balance bvh build perf,,,,,53065700.0,ns,6
balance bvh build perf,,,,,50421700.0,ns,6
balance bvh build perf,,,,,49994300.0,ns,6
balance bvh build perf,,,,,53075500.0,ns,6
balance bvh build perf,,,,,52533500.0,ns,6
balance bvh build perf,,,,,54425200.0,ns,6
balance bvh build perf,,,,,52855300.0,ns,6
balance bvh build perf,,,,,53466000.0,ns,6
balance bvh build perf,,,,,53186200.0,ns,6
balance bvh build perf,,,,,53104600.0,ns,6
balance bvh build perf,,,,,54027200.0,ns,6
balance bvh build perf,,,,,53281200.0,ns,6
balance bvh build perf,,,,,53486900.0,ns,6
balance bvh build perf,,,,,52994800.0,ns,6
balance bvh build perf,,,,,53475600.0,ns,6
balance bvh build perf,,,,,56343500.0,ns,6
balance bvh build perf,,,,,63455000.0,ns,6
balance bvh build perf,,,,,54065200.0,ns,6
balance bvh build perf,,,,,53155100.0,ns,6
balance bvh build perf,,,,,52544400.0,ns,6
balance bvh build perf,,,,,52356400.0,ns,6
balance bvh build perf,,,,,52292200.0,ns,6
balance bvh build perf,,,,,52552500.0,ns,6
balance bvh build perf,,,,,52466200.0,ns,6
balance bvh build perf,,,,,53338900.0,ns,6
balance bvh build perf,,,,,51902000.0,ns,6
balance bvh build perf,,,,,52396000.0,ns,6
balance bvh build perf,,,,,50365600.0,ns,6
balance bvh build perf,,,,,58405200.0,ns,6
balance bvh build perf,,,,,53232800.0,ns,6
balance bvh build perf,,,,,52159300.0,ns,6
balance bvh build perf,,,,,52338700.0,ns,6
balance bvh build perf,,,,,52744000.0,ns,6
balance bvh build perf,,,,,52200000.0,ns,6
balance bvh build perf,,,,,52220000.0,ns,6
balance bvh build perf,,,,,52552800.0,ns,6
balance bvh build perf,,,,,58115000.0,ns,6
balance bvh build perf,,,,,52787200.0,ns,6
balance bvh build perf,,,,,52600300.0,ns,6
balance bvh build perf,,,,,52441500.0,ns,6
balance bvh build perf,,,,,52336000.0,ns,6
balance bvh build perf,,,,,52188100.0,ns,6
balance bvh build perf,,,,,52541200.0,ns,6
balance bvh build perf,,,,,52521100.0,ns,6
balance bvh build perf,,,,,53530700.0,ns,6
balance bvh build perf,,,,,53137400.0,ns,6
balance bvh build perf,,,,,53083000.0,ns,6
balance bvh build perf,,,,,53039000.0,ns,6
balance bvh build perf,,,,,53232400.0,ns,6
balance bvh build perf,,,,,53239300.0,ns,6
balance bvh build perf,,,,,53424800.0,ns,6
balance bvh build perf,,,,,53102600.0,ns,6
balance bvh build perf,,,,,55317700.0,ns,6
balance bvh build perf,,,,,53195000.0,ns,6
balance bvh build perf,,,,,53163200.0,ns,6
balance bvh build perf,,,,,54980200.0,ns,6
balance bvh build perf,,,,,63614200.0,ns,6
balance bvh build perf,,,,,55994000.0,ns,6
balance bvh build perf,,,,,50723400.0,ns,6
balance bvh build perf,,,,,52986300.0,ns,6
balance bvh build perf,,,,,52855400.0,ns,6
balance bvh build perf,,,,,48637800.0,ns,6
balance bvh build perf,,,,,52841200.0,ns,6
balance bvh build perf,,,,,51561600.0,ns,6
balance bvh build perf,,,,,52029200.0,ns,6
balance bvh build perf,,,,,51512900.0,ns,6
balance bvh build perf,,,,,51707100.0,ns,6
balance bvh build perf,,,,,51949900.0,ns,6
balance bvh build perf,,,,,52706200.0,ns,6
balance bvh build perf,,,,,51795200.0,ns,6
balance bvh build perf,,,,,52571300.0,ns,6
balance bvh build perf,,,,,52396400.0,ns,6
balance bvh build perf,,,,,52810700.0,ns,6
balance bvh build perf,,,,,53073600.0,ns,6
balance bvh build perf,,,,,52357300.0,ns,6
balance bvh build perf,,,,,52425600.0,ns,6
balance bvh build perf,,,,,56829300.0,ns,6
balance bvh build perf,,,,,61284600.0,ns,6
balance bvh build perf,,,,,51627000.0,ns,6
balance bvh build perf,,,,,51926700.0,ns,6
balance bvh build perf,,,,,51517100.0,ns,6
balance bvh build perf,,,,,51264900.0,ns,6
balance bvh build perf,,,,,51544300.0,ns,6
balance bvh build perf,,,,,51690900.0,ns,6
balance bvh build perf,,,,,51287400.0,ns,6
balance bvh build perf,,,,,52305800.0,ns,6
balance bvh build perf,,,,,51919300.0,ns,6
balance bvh build perf,,,,,51996100.0,ns,6
balance bvh build perf,,,,,52581900.0,ns,6
balance bvh build perf,,,,,51938500.0,ns,6
balance bvh build perf,,,,,52502800.0,ns,6
balance bvh build perf,,,,,51844600.0,ns,6
balance bvh build perf,,,,,53157800.0,ns,6
balance bvh build perf,,,,,52441400.0,ns,6
balance bvh build perf,,,,,51860400.0,ns,6
balance bvh build perf,,,,,52275400.0,ns,6
balance bvh build perf,,,,,51726500.0,ns,6
balance bvh build perf,,,,,61808700.0,ns,6
